Country Name,Country Code,"2001 [YR2001] - Population, total [SP.POP.TOTL]","2002 [YR2002] - Population, total [SP.POP.TOTL]","2003 [YR2003] - Population, total [SP.POP.TOTL]","2004 [YR2004] - Population, total [SP.POP.TOTL]","2005 [YR2005] - Population, total [SP.POP.TOTL]","2006 [YR2006] - Population, total [SP.POP.TOTL]","2007 [YR2007] - Population, total [SP.POP.TOTL]","2008 [YR2008] - Population, total [SP.POP.TOTL]","2009 [YR2009] - Population, total [SP.POP.TOTL]","2010 [YR2010] - Population, total [SP.POP.TOTL]","2011 [YR2011] - Population, total [SP.POP.TOTL]","2012 [YR2012] - Population, total [SP.POP.TOTL]","2013 [YR2013] - Population, total [SP.POP.TOTL]","2014 [YR2014] - Population, total [SP.POP.TOTL]","2015 [YR2015] - Population, total [SP.POP.TOTL]","2016 [YR2016] - Population, total [SP.POP.TOTL]","2017 [YR2017] - Population, total [SP.POP.TOTL]","2018 [YR2018] - Population, total [SP.POP.TOTL]","2019 [YR2019] - Population, total [SP.POP.TOTL]","2020 [YR2020] - Population, total [SP.POP.TOTL]","2021 [YR2021] - Population, total [SP.POP.TOTL]","2022 [YR2022] - Population, total [SP.POP.TOTL]","2023 [YR2023] - Population, total [SP.POP.TOTL]","2024 [YR2024] - Population, total [SP.POP.TOTL]","2025 [YR2025] - Population, total [SP.POP.TOTL]","2026 [YR2026] - Population, total [SP.POP.TOTL]","2027 [YR2027] - Population, total [SP.POP.TOTL]","2028 [YR2028] - Population, total [SP.POP.TOTL]","2029 [YR2029] - Population, total [SP.POP.TOTL]","2030 [YR2030] - Population, total [SP.POP.TOTL]","2031 [YR2031] - Population, total [SP.POP.TOTL]","2032 [YR2032] - Population, total [SP.POP.TOTL]","2033 [YR2033] - Population, total [SP.POP.TOTL]","2034 [YR2034] - Population, total [SP.POP.TOTL]","2035 [YR2035] - Population, total [SP.POP.TOTL]","2036 [YR2036] - Population, total [SP.POP.TOTL]","2037 [YR2037] - Population, total [SP.POP.TOTL]","2038 [YR2038] - Population, total [SP.POP.TOTL]","2039 [YR2039] - Population, total [SP.POP.TOTL]","2040 [YR2040] - Population, total [SP.POP.TOTL]","2041 [YR2041] - Population, total [SP.POP.TOTL]","2042 [YR2042] - Population, total [SP.POP.TOTL]","2043 [YR2043] - Population, total [SP.POP.TOTL]","2044 [YR2044] - Population, total [SP.POP.TOTL]","2045 [YR2045] - Population, total [SP.POP.TOTL]","2046 [YR2046] - Population, total [SP.POP.TOTL]","2047 [YR2047] - Population, total [SP.POP.TOTL]","2048 [YR2048] - Population, total [SP.POP.TOTL]","2049 [YR2049] - Population, total [SP.POP.TOTL]","2050 [YR2050] - Population, total [SP.POP.TOTL]"
Northern Mariana Islands,MNP,58319,58412,57954,57240,56547,55886,55215,54621,54194,53971,54013,54306,54786,55301,55779,56187,56553,56889,57213,57557,57910,58000,59000,59000,59000,60000,60000,60000,61000,61000,61000,62000,62000,62000,62000,63000,63000,63000,63000,63000,63000,63000,63000,63000,63000,63000,62000,62000,62000,62000
Norway,NOR,4513751,4538159,4564855,4591910,4623291,4660677,4709153,4768212,4828726,4889252,4953088,5018573,5079623,5137232,5188607,5234519,5276968,5311916,5347896,5379475,5408320,5454000,5500000,5546000,5591000,5635000,5678000,5721000,5762000,5803000,5843000,5882000,5921000,5960000,5998000,6035000,6072000,6109000,6145000,6180000,6214000,6248000,6281000,6313000,6345000,6376000,6406000,6436000,6465000,6492000
Not classified,INX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
OECD members,OED,1209787876,1218855820,1227854277,1236872189,1245821323,1255133872,1264614793,1274522708,1283634878,1292110708,1298723126,1306807834,1315224394,1324034852,1332787383,1341783391,1350234580,1358279647,1365274704,1372980201,1375820281,1380161000,1384093000,1387846000,1391595000,1395364000,1399096000,1402753000,1406283000,1409666000,1412909000,1416029000,1419017000,1421840000,1424477000,1426920000,1429175000,1431239000,1433128000,1434837000,1436369000,1437731000,1438915000,1439936000,1440792000,1441501000,1442061000,1442485000,1442780000,1442826000
Oman,OMN,2294959,2334860,2386164,2445524,2511254,2580753,2657162,2750956,2876186,3041435,3251102,3498031,3764805,4027255,4267341,4479217,4665926,4829476,4974992,5106622,5223376,5324000,5412000,5494000,5573000,5651000,5728000,5802000,5872000,5936000,5995000,6049000,6099000,6148000,6197000,6245000,6294000,6342000,6390000,6437000,6484000,6531000,6577000,6624000,6672000,6721000,6770000,6819000,6868000,6915000
Other small states,OSS,21276754,21639144,22018460,22442097,22929069,23486191,24104686,24762404,25417810,26050929,26647965,27227313,27794594,28364446,28948893,29542903,30148954,30760469,31361216,31929881,32464282,32972000,33468000,33960000,34454000,34949000,35451000,35953000,36451000,36947000,37441000,37933000,38419000,38904000,39386000,39862000,40339000,40811000,41281000,41746000,42216000,42677000,43136000,43591000,44046000,44492000,44940000,45377000,45813000,46238000
Pacific island small states,PSS,1984469,2006091,2027859,2050583,2074776,2100892,2128647,2157454,2186314,2214509,2241808,2268553,2295450,2323558,2353578,2385744,2419767,2455336,2491878,2528958,2566494,2603000,2644000,2683000,2721000,2762000,2802000,2843000,2882000,2923000,2965000,3005000,3048000,3087000,3129000,3170000,3214000,3254000,3297000,3340000,3380000,3423000,3465000,3507000,3548000,3589000,3633000,3675000,3715000,3755000
Pakistan,PAK,145978408,149549695,153093371,156664698,160304007,164022626,167808106,171648984,175525610,179424643,183340168,187280125,191260799,195305012,199426953,203631356,207906210,212228288,216565317,220892331,225199929,229489000,233757000,238006000,242234000,246439000,250617000,254764000,258878000,262959000,267003000,271012000,274989000,278938000,282863000,286765000,290640000,294492000,298321000,302129000,305915000,309676000,313404000,317089000,320724000,324303000,327826000,331287000,334684000,338013000
Palau,PLW,19390,19642,19812,19861,19784,19545,19159,18708,18290,17954,17748,17635,17603,17625,17665,17718,17809,17911,18001,18092,18174,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000
Panama,PAN,3089641,3149195,3209056,3269356,3330222,3391673,3453671,3516204,3579215,3642691,3706479,3770635,3835447,3901311,3968490,4037073,4106764,4176868,4246440,4314768,4381583,4447000,4511000,4574000,4635000,4696000,4755000,4814000,4871000,4928000,4983000,5038000,5092000,5145000,5197000,5248000,5298000,5347000,5395000,5442000,5488000,5533000,5577000,5619000,5661000,5702000,5741000,5780000,5817000,5853000
Papua New Guinea,PNG,5974627,6098621,6223378,6354247,6494902,6646891,6808503,6976200,7144774,7310512,7472196,7631003,7788388,7946733,8107772,8271766,8438038,8606324,8776119,8947027,9119005,9292000,9466000,9642000,9818000,9995000,10173000,10351000,10530000,10709000,10889000,11069000,11249000,11428000,11607000,11785000,11963000,12140000,12317000,12493000,12668000,12842000,13016000,13189000,13361000,13532000,13702000,13870000,14038000,14204000
Paraguay,PRY,5428442,5531958,5632983,5730556,5824095,5913212,5998430,6081296,6163970,6248017,6333981,6421510,6510273,6599524,6688746,6777878,6867058,6956069,7044639,7132530,7219641,7306000,7391000,7475000,7558000,7639000,7719000,7797000,7874000,7950000,8024000,8097000,8168000,8237000,8304000,8370000,8433000,8495000,8555000,8614000,8670000,8725000,8779000,8830000,8880000,8928000,8974000,9018000,9061000,9102000
Peru,PER,26799289,27100964,27372217,27624226,27866140,28102055,28333050,28562321,28792663,29027680,29264314,29506790,29773986,30090372,30470739,30926036,31444299,31989265,32510462,32971846,33359416,33684000,33966000,34236000,34518000,34815000,35120000,35429000,35735000,36031000,36317000,36596000,36868000,37132000,37388000,37636000,37876000,38108000,38333000,38552000,38765000,38972000,39172000,39365000,39551000,39730000,39903000,40067000,40224000,40374000
Philippines,PHL,79672869,81365260,83051970,84710544,86326251,87888675,89405482,90901967,92414161,93966784,95570049,97212639,98871558,100513137,102113206,103663812,105172921,106651394,108116622,109581085,111046910,112509000,113964000,115407000,116833000,118241000,119633000,121006000,122361000,123698000,125015000,126312000,127584000,128827000,130040000,131219000,132366000,133481000,134564000,135619000,136644000,137638000,138602000,139535000,140438000,141311000,142153000,142964000,143742000,144488000
Poland,POL,38248076,38230364,38204570,38182222,38165445,38141267,38120560,38125759,38151603,38042794,38063255,38063164,38040196,38011735,37986412,37970087,37974826,37974750,37965475,37899070,37781024,37716000,37647000,37569000,37482000,37383000,37272000,37149000,37013000,36866000,36708000,36540000,36365000,36182000,35993000,35800000,35603000,35403000,35202000,35001000,34800000,34602000,34406000,34213000,34024000,33839000,33655000,33473000,33291000,33103000
Portugal,PRT,10362722,10419631,10458821,10483861,10503330,10522288,10542964,10558177,10568247,10573100,10557560,10514844,10457295,10401062,10358076,10325452,10300300,10283822,10286263,10297081,10299423,10267000,10236000,10205000,10174000,10143000,10111000,10078000,10045000,10011000,9976000,9941000,9905000,9869000,9831000,9793000,9755000,9715000,9674000,9631000,9588000,9543000,9496000,9448000,9399000,9348000,9296000,9242000,9188000,9131000
Post-demographic dividend,PST,1025401797,1030561691,1035711715,1041075191,1046366703,1052054839,1057981930,1064394135,1069876237,1074863836,1077830451,1082356457,1087107539,1092062242,1096949064,1101915677,1106131866,1110012320,1113142897,1117278019,1116655196,1118465000,1120156000,1121770000,1123335000,1124835000,1126251000,1127557000,1128737000,1129794000,1130739000,1131576000,1132310000,1132936000,1133453000,1133860000,1134158000,1134346000,1134433000,1134407000,1134277000,1134039000,1133697000,1133262000,1132733000,1132117000,1131428000,1130675000,1129870000,1128887000
Pre-demographic dividend,PRE,566366083,582828758,599938100,617518659,635451626,653695057,672318862,691447634,711257518,731868780,753326898,775573262,798496024,821931559,845759372,869943573,894512378,919485090,944902748,970795671,997158227,1023976000,1051256000,1079019000,1107264000,1135995000,1165207000,1194888000,1225031000,1255612000,1286630000,1318075000,1349923000,1382153000,1414748000,1447686000,1480957000,1514541000,1548424000,1582586000,1617010000,1651678000,1686578000,1721685000,1756979000,1792445000,1828069000,1863842000,1899746000,1935787000
Puerto Rico,PRI,3818774,3823701,3826095,3826878,3821362,3805214,3782995,3760866,3740410,3721525,3678732,3634488,3593077,3534874,3473232,3406672,3325286,3193354,3193694,3281538,3263584,3281000,3309000,3336000,3352000,3357000,3352000,3340000,3323000,3303000,3280000,3255000,3230000,3205000,3180000,3156000,3132000,3108000,3083000,3059000,3033000,3007000,2981000,2954000,2927000,2899000,2871000,2842000,2813000,2783000
Qatar,QAT,615013,640872,681791,753332,865410,1022704,1218441,1436670,1654944,1856329,2035862,2196078,2336579,2459202,2565708,2654379,2724727,2781682,2832071,2881060,2930524,2980000,3029000,3076000,3122000,3165000,3207000,3249000,3288000,3327000,3364000,3400000,3434000,3467000,3497000,3526000,3553000,3579000,3604000,3629000,3653000,3677000,3701000,3724000,3747000,3769000,3790000,3811000,3831000,3851000
Romania,ROU,22131970,21730496,21574326,21451748,21319685,21193760,20882982,20537875,20367487,20246871,20147528,20058035,19983693,19908979,19815616,19702267,19588715,19473970,19371648,19257520,19115146,19025000,18944000,18865000,18781000,18693000,18600000,18505000,18407000,18309000,18209000,18107000,18005000,17900000,17795000,17689000,17582000,17477000,17371000,17268000,17165000,17064000,16964000,16866000,16768000,16670000,16572000,16470000,16366000,16257000
Russian Federation,RUS,145976482,145306497,144648618,144067316,143518814,143049637,142805114,142742366,142785349,142849468,142960908,143201721,143506995,143819667,144096870,144342397,144496739,144477859,144406261,144073139,143446060,143296000,143110000,142889000,142636000,142348000,142026000,141671000,141282000,140864000,140419000,139954000,139474000,138986000,138495000,138007000,137529000,137066000,136622000,136200000,135801000,135426000,135076000,134749000,134443000,134157000,133889000,133637000,133399000,133152000
Rwanda,RWA,8231150,8427061,8557160,8680516,8840220,9043342,9273759,9524532,9782770,10039338,10293333,10549668,10811538,11083629,11369066,11668829,11980960,12301969,12626938,12952209,13276517,13600000,13924000,14250000,14577000,14906000,15236000,15568000,15900000,16234000,16570000,16906000,17243000,17582000,17922000,18262000,18604000,18946000,19290000,19634000,19979000,20324000,20669000,21014000,21357000,21699000,22039000,22378000,22714000,23048000
Samoa,WSM,175394,176410,177481,178597,179722,180874,182045,183270,184553,185944,187469,189089,190712,192220,193510,194540,195358,196128,197093,198410,200144,202000,205000,207000,209000,212000,214000,216000,218000,220000,223000,225000,227000,230000,232000,234000,237000,239000,241000,244000,246000,249000,251000,254000,256000,258000,261000,263000,265000,267000
San Marino,SMR,27818,28175,28561,28942,29324,29694,30068,30434,30825,31221,31655,32103,32554,32941,33270,33503,33671,33784,33864,33938,34010,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000
Sao Tome and Principe,STP,144760,147450,150405,153736,157472,161676,166297,171122,175877,180372,184521,188394,192076,195727,199439,203221,207086,211032,215048,219161,223364,228000,232000,237000,242000,247000,252000,257000,263000,268000,274000,280000,285000,291000,297000,303000,310000,316000,322000,328000,335000,341000,348000,354000,361000,367000,374000,381000,387000,394000
Saudi Arabia,SAU,21202646,21805322,22456645,23132686,23816175,24498313,25184589,25888535,26630303,27421468,28267591,29154906,30052058,30916603,31717676,32443443,33101183,33702757,34268529,34813867,35340680,35845000,36329000,36797000,37249000,37688000,38115000,38531000,38933000,39322000,39699000,40063000,40415000,40752000,41073000,41379000,41669000,41946000,42214000,42473000,42725000,42970000,43206000,43432000,43649000,43855000,44050000,44234000,44405000,44562000
Senegal,SEN,10036102,10283694,10541470,10810086,11090123,11382272,11687078,12004700,12335092,12678143,13033814,13401990,13782429,14174740,14578450,14993514,15419354,15854324,16296362,16743930,17196308,17654000,18117000,18586000,19062000,19546000,20036000,20534000,21039000,21551000,22072000,22599000,23134000,23677000,24228000,24786000,25352000,25924000,26503000,27088000,27678000,28273000,28874000,29478000,30088000,30701000,31318000,31938000,32561000,33187000
Serbia,SRB,7503433,7496522,7480591,7463157,7440769,7411569,7381579,7350222,7320807,7291436,7234099,7199077,7164132,7130576,7095383,7058322,7020858,6982604,6945235,6899126,6844078,6805000,6765000,6724000,6684000,6642000,6600000,6556000,6512000,6465000,6418000,6370000,6320000,6270000,6220000,6170000,6120000,6070000,6020000,5971000,5922000,5873000,5824000,5776000,5727000,5678000,5630000,5581000,5532000,5482000
Seychelles,SYC,81202,83723,82781,82475,82858,84600,85033,86956,87298,89770,87441,88303,89949,91359,93419,94677,95843,96762,97625,98462,99202,100000,100000,101000,101000,101000,102000,102000,103000,103000,103000,103000,104000,104000,104000,104000,105000,105000,105000,105000,105000,105000,105000,105000,105000,105000,105000,105000,105000,105000
Sierra Leone,SLE,4754069,4965770,5201074,5433995,5645629,5829240,5989641,6133599,6272735,6415636,6563238,6712586,6863975,7017153,7171909,7328846,7488427,7650149,7813207,7976985,8141343,8306000,8472000,8639000,8806000,8974000,9142000,9310000,9479000,9649000,9818000,9988000,10158000,10328000,10498000,10667000,10836000,11004000,11172000,11339000,11505000,11671000,11835000,11999000,12161000,12321000,12480000,12637000,12792000,12945000
Singapore,SGP,4138012,4175950,4114826,4166664,4265762,4401365,4588599,4839396,4987573,5076732,5183688,5312437,5399162,5469724,5535002,5607283,5612253,5638676,5703569,5685807,5453566,5498000,5542000,5584000,5625000,5665000,5702000,5738000,5771000,5801000,5829000,5854000,5876000,5895000,5910000,5923000,5932000,5939000,5944000,5946000,5946000,5945000,5942000,5938000,5933000,5927000,5921000,5914000,5907000,5899000
Sint Maarten (Dutch part),SXM,30600,30777,31472,32488,33011,33441,33811,33964,34238,34056,33435,34640,36607,37685,38825,39969,40574,40895,41608,42310,42846,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Slovak Republic,SVK,5378867,5376912,5373374,5372280,5372807,5373054,5374622,5379233,5386406,5391428,5398384,5407579,5413393,5418649,5423801,5430798,5439232,5446771,5454147,5458827,5447247,5446000,5443000,5439000,5434000,5426000,5418000,5407000,5395000,5381000,5366000,5349000,5331000,5311000,5290000,5269000,5246000,5224000,5201000,5178000,5154000,5132000,5109000,5086000,5063000,5041000,5019000,4997000,4975000,4952000
Slovenia,SVN,1992060,1994530,1995733,1997012,2000474,2006868,2018122,2021316,2039669,2048583,2052843,2057159,2059953,2061980,2063531,2065042,2066388,2073894,2088385,2102419,2107007,2105000,2104000,2101000,2098000,2095000,2091000,2088000,2083000,2079000,2074000,2068000,2063000,2057000,2051000,2044000,2037000,2031000,2024000,2017000,2011000,2004000,1998000,1991000,1985000,1978000,1971000,1964000,1957000,1949000
Small states,SST,29820320,30250201,30697300,31189665,31746502,32375205,33066727,33798831,34529570,35238631,35912140,36568506,37213359,37861447,38524668,39198032,39883677,40574734,41254483,41901130,42512407,43095000,43667000,44232000,44797000,45362000,45932000,46499000,47061000,47621000,48175000,48725000,49270000,49808000,50343000,50870000,51398000,51917000,52431000,52940000,53448000,53951000,54446000,54938000,55427000,55904000,56381000,56850000,57310000,57758000
Solomon Islands,SLB,423949,435434,447016,458549,469918,481086,492133,503366,515182,527861,541522,556066,571329,587079,603133,619438,636030,652856,669821,686878,703995,721000,738000,756000,773000,791000,809000,827000,846000,865000,884000,903000,923000,942000,963000,983000,1004000,1025000,1046000,1068000,1089000,1111000,1133000,1155000,1177000,1200000,1222000,1245000,1267000,1290000
Somalia,SOM,9186719,9501335,9815412,10130251,10446856,10763904,11080122,11397188,11717691,12043886,12376305,12715487,13063711,13423571,13797204,14185635,14589165,15008225,15442906,15893219,16359500,16842000,17339000,17851000,18377000,18915000,19466000,20029000,20605000,21191000,21788000,22396000,23014000,23641000,24277000,24923000,25576000,26239000,26911000,27591000,28280000,28978000,29686000,30403000,31131000,31869000,32618000,33376000,34144000,34922000
South Africa,ZAF,45571272,46150913,46719203,47291610,47880595,48489464,49119766,49779472,50477013,51216967,52003759,52832659,53687125,54544184,55386369,56207649,57009751,57792520,58558267,59308690,60041996,60756000,61453000,62134000,62803000,63458000,64101000,64731000,65349000,65956000,66552000,67136000,67709000,68270000,68819000,69355000,69879000,70390000,70889000,71375000,71850000,72312000,72761000,73197000,73620000,74028000,74423000,74803000,75168000,75518000
South Asia,SAS,1416822995,1442644044,1468324423,1493757846,1518861546,1543610686,1568003175,1592010815,1615610187,1638792927,1661532158,1683740452,1705761545,1727632022,1749417067,1771187426,1792883164,1814455018,1835776769,1856882402,1877902324,1898555000,1918944000,1939013000,1958719000,1978033000,1996942000,2015432000,2033499000,2051132000,2068314000,2085031000,2101251000,2116943000,2132083000,2146660000,2160669000,2174114000,2187000000,2199337000,2211123000,2222357000,2233054000,2243229000,2252898000,2262064000,2270730000,2278897000,2286572000,2293752000
South Asia (IDA & IBRD),TSA,1416822995,1442644044,1468324423,1493757846,1518861546,1543610686,1568003175,1592010815,1615610187,1638792927,1661532158,1683740452,1705761545,1727632022,1749417067,1771187426,1792883164,1814455018,1835776769,1856882402,1877902324,1898555000,1918944000,1939013000,1958719000,1978033000,1996942000,2015432000,2033499000,2051132000,2068314000,2085031000,2101251000,2116943000,2132083000,2146660000,2160669000,2174114000,2187000000,2199337000,2211123000,2222357000,2233054000,2243229000,2252898000,2262064000,2270730000,2278897000,2286572000,2293752000
South Sudan,SSD,6447791,6688225,6935665,7213354,7535931,7907407,8315144,8736932,9142258,9508372,9830695,10113648,10355030,10554882,10715657,10832520,10910774,10975924,11062114,11193729,11381377,11619000,11891000,12176000,12458000,12733000,13006000,13278000,13555000,13839000,14130000,14425000,14724000,15026000,15328000,15632000,15936000,16242000,16548000,16856000,17166000,17475000,17786000,18097000,18408000,18720000,19031000,19342000,19652000,19963000
Spain,ESP,40850412,41431558,42187645,42921895,43653155,44397319,45226803,45954106,46362946,46576897,46742697,46773055,46620045,46480882,46444832,46484062,46593236,46797754,47134837,47363419,47326687,47277000,47213000,47141000,47068000,46992000,46913000,46829000,46741000,46646000,46545000,46440000,46332000,46221000,46107000,45989000,45868000,45742000,45611000,45473000,45329000,45177000,45017000,44850000,44673000,44488000,44294000,44090000,43877000,43648000
Sri Lanka,LKA,18911727,19062476,19224036,19387153,19544988,19695977,19842044,19983984,20123508,20261738,20398496,20425000,20585000,20778000,20970000,21203000,21444000,21670000,21803000,21919000,22156000,22239000,22317000,22388000,22452000,22510000,22562000,22609000,22652000,22691000,22726000,22758000,22786000,22810000,22830000,22846000,22857000,22862000,22862000,22857000,22847000,22831000,22809000,22781000,22748000,22709000,22664000,22614000,22559000,22497000
St. Kitts and Nevis,KNA,44602,45168,45749,46323,46852,47333,47769,48178,48599,49011,49442,49881,50328,50776,51204,51629,52036,52438,52834,53192,53546,54000,54000,54000,55000,55000,55000,55000,56000,56000,56000,56000,56000,56000,56000,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000,57000,56000,56000,56000,56000
St. Lucia,LCA,158184,159392,160530,161821,163408,165378,167644,170011,172223,174092,175538,176654,177505,178307,179131,180028,180955,181890,182795,183629,184401,185000,186000,186000,187000,187000,188000,188000,188000,189000,189000,189000,189000,189000,189000,189000,189000,189000,188000,188000,188000,187000,187000,186000,186000,185000,184000,184000,183000,182000
St. Martin (French part),MAF,29847,30913,32055,33187,34252,35240,36138,36880,37380,37582,37451,37012,36458,36018,35865,36061,36569,37264,38002,38659,39239,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
St. Vincent and the Grenadines,VCT,107893,108095,108322,108520,108617,108602,108516,108401,108293,108260,108315,108435,108624,108868,109135,109467,109826,110210,110593,110947,111269,112000,112000,112000,112000,112000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,112000,112000,112000,112000,111000,111000,111000,110000,110000,110000,109000
Sub-Saharan Africa,SSF,682956023,701066197,719716165,738983247,758924664,779566846,800908567,822945490,845655209,869025115,893045863,917725880,943039474,968958352,995458498,1022530245,1050162810,1078319512,1106957870,1136046775,1165563987,1195514000,1225912000,1256812000,1288224000,1320155000,1352590000,1385509000,1418894000,1452712000,1486970000,1521645000,1556716000,1592167000,1627975000,1664116000,1700587000,1737358000,1774427000,1811767000,1849371000,1887210000,1925275000,1963532000,2001963000,2040540000,2079259000,2118102000,2157049000,2196108000
Sub-Saharan Africa (excluding high income),SSA,682874821,700982474,719633384,738900772,758841806,779482246,800823534,822858534,845567911,868935345,892958422,917637577,942949525,968866993,995365079,1022435568,1050066967,1078222750,1106860245,1135948313,1165464785,1195414000,1225812000,1256711000,1288123000,1320054000,1352488000,1385407000,1418791000,1452609000,1486867000,1521542000,1556612000,1592063000,1627871000,1664012000,1700482000,1737253000,1774322000,1811662000,1849266000,1887105000,1925170000,1963427000,2001858000,2040435000,2079154000,2117997000,2156944000,2196003000
Sub-Saharan Africa (IDA & IBRD countries),TSS,682956023,701066197,719716165,738983247,758924664,779566846,800908567,822945490,845655209,869025115,893045863,917725880,943039474,968958352,995458498,1022530245,1050162810,1078319512,1106957870,1136046775,1165563987,1195514000,1225912000,1256812000,1288224000,1320155000,1352590000,1385509000,1418894000,1452712000,1486970000,1521645000,1556716000,1592167000,1627975000,1664116000,1700587000,1737358000,1774427000,1811767000,1849371000,1887210000,1925275000,1963532000,2001963000,2040540000,2079259000,2118102000,2157049000,2196108000
Sudan,SDN,27971077,28704786,29460517,30214189,30949514,31661824,32360619,33060844,33783779,34545014,35349676,36193781,37072555,37977657,38902948,39847433,40813398,41801532,42813237,43849269,44909351,45992000,47095000,48216000,49353000,50505000,51671000,52851000,54046000,55254000,56475000,57708000,58953000,60208000,61473000,62747000,64029000,65319000,66616000,67919000,69228000,70541000,71860000,73182000,74509000,75840000,77173000,78511000,79850000,81193000
Suriname,SUR,476574,482228,487938,493680,499461,505292,511181,517122,523113,529126,535177,541247,547295,553278,559136,564883,570501,575987,581363,586634,591798,597000,602000,607000,611000,616000,620000,624000,628000,632000,636000,640000,643000,647000,650000,653000,656000,659000,661000,664000,666000,668000,670000,672000,674000,675000,677000,678000,679000,680000
Sweden,SWE,8895960,8924958,8958229,8993531,9029572,9080505,9148092,9219637,9298515,9378126,9449213,9519374,9600379,9696110,9799186,9923085,10057698,10175214,10278887,10353442,10415811,10472000,10526000,10578000,10629000,10678000,10725000,10769000,10810000,10849000,10886000,10921000,10956000,10991000,11027000,11063000,11099000,11135000,11172000,11210000,11247000,11285000,11322000,11360000,11397000,11434000,11471000,11507000,11542000,11575000
Switzerland,CHE,7229854,7284753,7339001,7389625,7437115,7483934,7551117,7647675,7743831,7824909,7912398,7996861,8089346,8188649,8282396,8373338,8451840,8514329,8575280,8636561,8697723,8752000,8805000,8857000,8908000,8957000,9006000,9052000,9097000,9139000,9179000,9218000,9255000,9291000,9326000,9360000,9392000,9423000,9453000,9481000,9508000,9533000,9557000,9580000,9601000,9622000,9641000,9660000,9678000,9695000
Syrian Arab Republic,SYR,16766555,17084628,17415214,17827827,18361178,19059257,19878257,20664037,21205873,21362541,21081814,20438861,19578466,18710711,17997411,17465567,17095669,16945062,17070132,17500657,18275704,19365000,20638000,21915000,23062000,24033000,24851000,25537000,26134000,26677000,27160000,27572000,27930000,28260000,28580000,28898000,29214000,29530000,29843000,30153000,30462000,30772000,31082000,31390000,31693000,31992000,32287000,32576000,32857000,33129000
Tajikistan,TJK,6318510,6426861,6541550,6662391,6789318,6922590,7062667,7209924,7364752,7527397,7697507,7874838,8059782,8252828,8454019,8663575,8880270,9100847,9321023,9537642,9749625,9957000,10162000,10363000,10563000,10761000,10958000,11155000,11354000,11557000,11765000,11977000,12193000,12415000,12643000,12876000,13114000,13356000,13601000,13846000,14092000,14338000,14583000,14826000,15065000,15300000,15531000,15759000,15984000,16208000
Tanzania,TZA,34385849,35334790,36337778,37379766,38450323,39548666,40681416,41853944,43073830,44346532,45673520,47053033,48483132,49960563,51482638,53049231,54660345,56313444,58005461,59734213,61498438,63299000,65136000,67014000,68934000,70896000,72900000,74946000,77034000,79163000,81334000,83546000,85798000,88088000,90416000,92779000,95179000,97614000,100083000,102587000,105123000,107692000,110294000,112929000,115596000,118296000,121027000,123787000,126574000,129387000
Thailand,THA,63539190,64069093,64549867,64995303,65416189,65812540,66182064,66530980,66866834,67195032,67518379,67835969,68144519,68438748,68714519,68971313,69209817,69428454,69625581,69799978,69950844,70078000,70183000,70266000,70329000,70372000,70394000,70397000,70380000,70346000,70292000,70221000,70132000,70024000,69899000,69756000,69596000,69419000,69223000,69008000,68776000,68526000,68258000,67973000,67672000,67355000,67023000,66676000,66315000,65940000
Timor-Leste,TLS,901214,922699,947110,971889,995130,1016437,1036388,1055428,1074286,1093517,1113154,1133002,1153288,1174333,1196294,1219289,1243260,1267975,1293120,1318442,1343875,1369000,1395000,1421000,1447000,1472000,1498000,1523000,1549000,1574000,1599000,1624000,1648000,1672000,1696000,1719000,1742000,1765000,1787000,1809000,1831000,1853000,1874000,1895000,1916000,1937000,1958000,1979000,1999000,2019000
Togo,TGO,5062571,5197040,5330629,5467770,5611643,5762881,5920360,6083417,6250840,6421674,6595939,6773807,6954721,7137997,7323162,7509952,7698476,7889095,8082359,8278737,8478242,8681000,8887000,9096000,9308000,9524000,9744000,9967000,10193000,10422000,10654000,10889000,11126000,11367000,11609000,11853000,12100000,12348000,12598000,12850000,13102000,13356000,13611000,13867000,14123000,14380000,14638000,14897000,15156000,15416000
Tonga,TON,98482,99023,99591,100214,100908,101714,102577,103384,103897,103981,103558,102736,101768,101023,100780,101143,102002,103199,104497,105697,106759,108000,109000,110000,111000,112000,113000,114000,115000,116000,117000,118000,119000,120000,121000,122000,123000,124000,125000,126000,127000,128000,129000,129000,130000,131000,132000,133000,133000,134000
